Date,Open,High,Low,Close,Adj Close,Volume
6/27/2011,36.080002,37.869999,35.950001,38.97791037,23.477552,76832000
7/4/2011,37.740002,37.860001,37.119999,38.99344654,23.278807,55376600
7/11/2011,37.110001,37.369999,36.650002,40.13967851,23.167822,62793400
7/18/2011,36.68,37.82,36.27,40.25696938,23.117487,86606500
7/25/2011,36.459999,36.52,34.869999,40.18324375,22.205114,78667100
8/1/2011,36.349998,36.389999,34.02,39.82803013,22.054108,130301600
8/8/2011,33.98,34.939999,32.279999,39.46825609,21.582193,184267100
8/15/2011,34.599998,35.66,34.419998,39.61743245,21.840174,94328400
8/22/2011,35.400002,36.5,34.75,39.52506972,22.500853,84425700
8/29/2011,36.049999,36.720001,35.5,39.96447009,22.374998,88131300
9/5/2011,34.98,35.720001,34.779999,40.02915146,22.173658,65188700
9/12/2011,34.779999,36.75,34.650002,41.46303183,23.104898,78739900
9/19/2011,36.41,36.919998,35.060001,41.091585,22.576359,115989200
9/26/2011,36.11,36.41,35.84,40.40746183,22.88,"21,607,000"
