Date,Open,High,Low,Close,Adj Close,Volume
6/27/2011,24.23,26.17,24.23,23.640012,28.772274,344568900
7/4/2011,26.1,26.98,25.9,23.920045,27.490763,196816700
7/11/2011,26.620001,27.01,26.34,23.540892,27.379005,227695600
7/18/2011,26.629999,27.639999,26.26,22.70139,27.977745,339145900
7/25/2011,27.26,28.15,27.190001,21.900321,27.87396,442763800
8/1/2011,27.51,27.690001,25.23,20.503469,25.500849,395323900
8/8/2011,25.02,25.620001,24.030001,20.10042,24.037825,543823200
8/15/2011,25.24,25.700001,23.91,19.340541,23.199591,344816700
8/22/2011,24.42,25.34,23.790001,20.709319,21.2848,279870300
8/29/2011,25.530001,26.860001,25.370001,19.403132,20.726643,259910600
9/5/2011,25.200001,26.66,25.110001,21.103474,21.678446,227231400
9/12/2011,25.440001,27.27,25.27,20.004201,21.787081,328067400
9/19/2011,26.799999,27.5,24.6,19.676901,20.13216,335333900
9/26/2011,25.190001,25.52,24.73,19.689103,20.437431,51057600
