Date,Open,High,Low,Close,Adj Close,Volume
2011-06-27,19.070210,19.222012,19.022770,19.136621,13.016496,36172753
2011-06-28,19.127134,19.554079,19.089184,19.497154,13.261728,43239401
2011-06-29,19.582542,19.667933,19.421251,19.611006,13.339171,49189653
2011-06-30,19.620493,19.696396,19.497154,19.544592,13.293994,48851214
2011-07-01,19.449715,19.696396,19.430740,19.686907,13.390797,32414084
2011-07-05,19.620493,19.734344,19.592030,19.715370,13.410155,32902929
2011-07-06,19.715370,19.876659,19.677420,19.715370,13.410155,29727754
2011-07-07,19.582542,19.677420,19.136621,19.193548,13.055219,97863268
2011-07-08,19.098673,19.250475,19.079697,19.127134,13.010050,44122970
2011-07-11,18.975332,19.146111,18.908918,19.013283,12.932605,49530095
2011-07-12,18.984819,19.165085,18.946869,18.975332,12.906791,44951519
2011-07-13,19.060720,19.165085,18.880455,18.965843,12.900340,44410606
2011-07-14,18.956356,18.984819,18.785580,18.889942,12.848711,37135582
2011-07-15,18.804554,18.918406,18.652752,18.738140,12.745460,50284654
2011-07-18,18.567362,18.662239,18.500950,18.633776,12.674468,36651480
2011-07-19,18.643265,19.003796,18.614801,18.918406,12.868072,36521627
2011-07-20,18.899431,18.975332,18.757116,18.880455,12.842253,37286409
2011-07-21,18.984819,19.165085,18.956356,19.070210,12.971325,46844292
2011-07-22,19.060720,19.136621,18.946869,19.041746,12.951969,27217020
2011-07-25,18.861481,18.965843,18.795067,18.795067,12.784176,33176020
2011-07-26,18.833017,18.880455,18.567362,18.624289,12.668020,40813410
2011-07-27,18.529411,18.614801,18.273245,18.311195,12.455056,42527424
2011-07-28,18.263758,18.614801,18.263758,18.368120,12.493773,62017992
2011-07-29,18.225805,18.491461,18.074003,18.263758,12.422788,73232131
2011-08-01,18.444023,18.462997,17.789373,18.036053,12.267909,57838250
2011-08-02,17.979128,17.998102,17.210627,17.210627,11.706462,109434290
2011-08-03,17.096773,17.239088,16.840607,17.106262,11.765187,68569024
2011-08-04,16.869070,17.039848,16.451612,16.470589,11.327991,80391004
2011-08-05,16.603416,16.812143,16.157495,16.593927,11.412818,91111554
2011-08-08,16.233397,16.736242,15.806452,15.806452,10.871215,127628017
2011-08-09,16.148008,16.717268,15.777989,16.698292,11.484599,122761488
2011-08-10,16.755219,17.077799,16.129032,16.176472,11.125705,107214672
2011-08-11,16.318787,17.087288,16.176472,16.897533,11.621633,87320738
2011-08-12,17.001898,17.172676,16.850096,16.944971,11.654258,60513513
2011-08-15,17.248577,17.447819,17.077799,17.400379,11.967473,53775502
2011-08-16,17.314991,17.495256,17.144213,17.371918,11.947900,45084955
2011-08-17,17.476280,17.647058,17.409866,17.542694,12.065351,47358750
2011-08-18,17.191650,17.248577,16.641365,16.802656,11.556377,77886489
2011-08-19,16.603416,17.049335,16.603416,16.764706,11.530275,59438222
2011-08-22,17.058825,17.239088,16.717268,16.774195,11.536800,43110813
2011-08-23,16.963947,17.362429,16.764706,17.305504,11.902220,55309599
2011-08-24,17.305504,17.476280,17.191650,17.447819,12.000103,43926926
2011-08-25,17.267551,17.352942,16.944971,17.039848,11.719513,54207009
2011-08-26,16.916510,17.381405,16.612904,17.277040,11.882644,48578438
2011-08-29,17.798861,17.979128,17.656546,17.912712,12.319842,49397186
2011-08-30,17.827324,18.017078,17.590134,17.912712,12.319842,46515760
2011-08-31,18.007589,18.149904,17.808350,18.007589,12.385096,46743951
2011-09-01,17.941175,18.168880,17.893738,17.941175,12.339414,41855921
2011-09-02,17.666035,17.969639,17.485769,17.514231,12.045777,36949129
2011-09-06,17.296015,17.760912,17.172676,17.694496,12.169757,51370274
2011-09-07,18.017078,18.055029,17.846300,18.036053,12.404672,50899030
2011-09-08,17.912712,18.149904,17.779886,17.855787,12.280691,39405793
2011-09-09,17.628082,17.666035,17.201139,17.343454,11.928324,59936764
2011-09-12,16.954458,17.343454,16.944971,17.314991,11.908748,55402351
2011-09-13,17.343454,17.457306,17.191650,17.390892,11.960945,33751610
2011-09-14,17.239088,17.656546,17.087288,17.466793,12.013152,50831153
2011-09-15,17.542694,17.571157,17.314991,17.542694,12.065351,46744162
2011-09-16,17.647058,17.685009,17.220114,17.220114,11.843489,80837057
2011-09-19,17.020872,17.201139,16.907021,17.134726,11.784764,49123567
2011-09-20,17.229603,17.428843,17.049335,17.305504,11.902220,54898117
2011-09-21,17.163189,17.324478,16.897533,16.925997,11.641208,56566599
2011-09-22,16.669828,16.802656,16.413662,16.593927,11.412818,65817346
2011-09-23,16.518026,16.793169,16.461102,16.555977,11.386717,52643189
2011-09-26,16.508539,16.878557,16.423149,16.859583,11.595528,40941998
2011-09-27,17.087288,17.163189,16.755219,16.840607,11.582479,46890984
2011-09-28,16.850096,17.039848,16.641365,16.660341,11.458494,34680921
2011-09-29,16.878557,17.182163,16.774195,17.058825,11.732564,59446443
